qos,5
$SYS/broker/load/sockets/1min,b'125.54',105
$SYS/broker/load/connections/1min,b'125.28',210
$SYS/broker/load/messages/received/5min,b'36542.52',86
$SYS/broker/load/messages/sent/5min,b'291015.92',70
$SYS/broker/load/publish/dropped/5min,b'53325.24',64
$SYS/broker/load/publish/received/5min,b'11312.60',75
$SYS/broker/load/publish/sent/5min,b'260064.01',61
$SYS/broker/load/bytes/received/5min,b'550216.87',60
$SYS/broker/load/bytes/sent/5min,b'8067193.61',57
$SYS/broker/load/sockets/5min,b'131.39',166
$SYS/broker/load/connections/5min,b'130.63',65
$SYS/broker/load/messages/received/15min,b'37330.65',58
$SYS/broker/load/messages/sent/15min,b'295700.42',57
$SYS/broker/load/publish/dropped/15min,b'60480.71',376
$SYS/broker/load/publish/received/15min,b'11302.81',74
$SYS/broker/load/publish/sent/15min,b'263937.38',62
$SYS/broker/load/bytes/received/15min,b'552147.46',71
$SYS/broker/load/bytes/sent/15min,b'8251480.11',59
$SYS/broker/load/sockets/15min,b'153.97',57
$SYS/broker/load/connections/15min,b'153.49',202368
$SYS/broker/messages/stored,b'3155996',260
$SYS/broker/subscriptions/count,b'112',172
$SYS/broker/heap/current,b'646962680',136
$SYS/broker/messages/received,b'3225932931',253
$SYS/broker/messages/sent,b'4562605728',121
$SYS/broker/publish/messages/dropped,b'829158864',105
$SYS/broker/publish/messages/received,b'1495988162',99
$SYS/broker/publish/messages/sent,b'2131176937',200
$SYS/broker/bytes/received,b'66374842277',403
$SYS/broker/bytes/sent,b'70082549347',203
$SYS/broker/publish/bytes/received,b'16613203733',207
$SYS/broker/publish/bytes/sent,b'15469836771',252
counter/fast/q2,b'1175007',484624
counter/fast/q2,b'1175008',245910
counter/fast/q2,b'1175009',301212
counter/fast/q2,b'1175010',261
counter/fast/q2,b'1175011',170
counter/fast/q2,b'1175012',192
counter/fast/q2,b'1175013',181
counter/fast/q2,b'1175014',227
counter/fast/q2,b'1175015',177
counter/fast/q2,b'1175016',215
counter/fast/q2,b'1175017',165
counter/fast/q2,b'1175018',194
counter/fast/q2,b'1175019',308
counter/fast/q2,b'1175020',129
counter/fast/q2,b'1175021',109
counter/fast/q2,b'1175022',106
counter/fast/q2,b'1175023',105
counter/fast/q2,b'1175024',103
counter/fast/q2,b'1175025',104
counter/fast/q2,b'1175026',99
counter/fast/q2,b'1175034',1226427
counter/fast/q2,b'1175061',306259
counter/fast/q2,b'1175062',307572
counter/fast/q2,b'1175063',462
counter/fast/q2,b'1175064',179
counter/fast/q2,b'1175065',208
counter/fast/q2,b'1175066',227
counter/fast/q2,b'1175067',211
counter/fast/q2,b'1175068',192
counter/fast/q2,b'1175069',187
counter/fast/q2,b'1175070',209
counter/fast/q2,b'1175071',207
counter/fast/q2,b'1175072',158
counter/fast/q2,b'1175073',118
counter/fast/q2,b'1175074',108
counter/fast/q2,b'1175075',106
counter/fast/q2,b'1175091',105
counter/fast/q2,b'1175092',105
counter/fast/q2,b'1175093',137
counter/fast/q2,b'1175094',112
counter/fast/q2,b'1175199',1162069
counter/fast/q2,b'1175223',268705
counter/fast/q2,b'1175224',409511
counter/fast/q2,b'1175225',309
counter/fast/q2,b'1175226',190
counter/fast/q2,b'1175227',166
counter/fast/q2,b'1175228',216
counter/fast/q2,b'1175229',203
counter/fast/q2,b'1175230',189
counter/fast/q2,b'1175231',186
counter/fast/q2,b'1175232',239
counter/fast/q2,b'1175233',168
counter/fast/q2,b'1175234',112
counter/fast/q2,b'1175235',350
counter/fast/q2,b'1175236',147
counter/fast/q2,b'1175237',98
counter/fast/q2,b'1175246',72
counter/fast/q2,b'1175247',70
counter/fast/q2,b'1175248',105
counter/fast/q2,b'1175249',114
counter/fast/q2,b'1175340',1021017
counter/fast/q2,b'1175363',307194
counter/fast/q2,b'1175364',306926
counter/fast/q2,b'1175365',587
counter/fast/q2,b'1175366',254
counter/fast/q2,b'1175367',287
counter/fast/q2,b'1175368',374
counter/fast/q2,b'1175369',217
counter/fast/q2,b'1175370',202
counter/fast/q2,b'1175371',275
counter/fast/q2,b'1175372',232
counter/fast/q2,b'1175373',201
counter/fast/q2,b'1175374',271
counter/fast/q2,b'1175375',3668
counter/fast/q2,b'1175376',120
counter/fast/q2,b'1175377',227
counter/fast/q2,b'1175389',76
counter/fast/q2,b'1175390',69
counter/fast/q2,b'1175391',66
counter/fast/q2,b'1175392',66
counter/fast/q2,b'1175510',1222235
counter/fast/q2,b'1175540',307981
counter/fast/q2,b'1175541',245357
counter/fast/q2,b'1175542',244
counter/fast/q2,b'1175543',188
counter/fast/q2,b'1175544',173
counter/fast/q2,b'1175545',211
counter/fast/q2,b'1175546',210
counter/fast/q2,b'1175547',278
counter/fast/q2,b'1175548',188
counter/fast/q2,b'1175549',310
counter/fast/q2,b'1175550',179
counter/fast/q2,b'1175551',125
counter/fast/q2,b'1175552',124
counter/fast/q2,b'1175553',107
counter/fast/q2,b'1175554',104
counter/fast/q2,b'1175569',104
counter/fast/q2,b'1175570',103
counter/fast/q2,b'1175571',111
counter/fast/q2,b'1175572',107
counter/fast/q2,b'1175658',1081289
counter/fast/q2,b'1175674',307782
counter/fast/q2,b'1175675',264417
counter/fast/q2,b'1175676',335
counter/fast/q2,b'1175677',192
counter/fast/q2,b'1175678',276
counter/fast/q2,b'1175679',237
counter/fast/q2,b'1175680',215
counter/fast/q2,b'1175681',176
counter/fast/q2,b'1175682',174
counter/fast/q2,b'1175683',163
counter/fast/q2,b'1175684',209
counter/fast/q2,b'1175685',178
counter/fast/q2,b'1175686',119
counter/fast/q2,b'1175687',178
counter/fast/q2,b'1175688',215
counter/fast/q2,b'1175689',113
counter/fast/q2,b'1175690',119
counter/fast/q2,b'1175691',72
counter/fast/q2,b'1175692',78
counter/fast/q2,b'1175751',984280
$SYS/broker/uptime,b'3568473 seconds',332
$SYS/broker/clients/total,b'54',122
$SYS/broker/clients/active,b'51',115
$SYS/broker/clients/connected,b'51',109
$SYS/broker/load/messages/received/1min,b'34554.42',114
$SYS/broker/load/messages/sent/1min,b'256492.47',110
$SYS/broker/load/publish/dropped/1min,b'45762.81',121
$SYS/broker/load/publish/received/1min,b'11358.20',171
$SYS/broker/load/publish/sent/1min,b'227564.32',114
$SYS/broker/load/bytes/received/1min,b'542530.41',132
$SYS/broker/load/bytes/sent/1min,b'6915883.07',135
$SYS/broker/load/sockets/1min,b'116.39',154
$SYS/broker/load/connections/1min,b'116.18',140
$SYS/broker/load/messages/received/5min,b'36543.02',135
$SYS/broker/load/messages/sent/5min,b'289802.12',84
$SYS/broker/load/publish/dropped/5min,b'53120.36',71
$SYS/broker/load/publish/received/5min,b'11313.58',69
$SYS/broker/load/publish/sent/5min,b'258853.07',69
$SYS/broker/load/bytes/received/5min,b'550089.41',67
$SYS/broker/load/bytes/sent/5min,b'8026540.37',111
$SYS/broker/load/sockets/5min,b'129.22',71
$SYS/broker/load/connections/5min,b'128.48',68
